Nama,Deskripsi,Bahan,"Tags (makanan, minuman, camilan)","Tags (manis, gurih, asin, pedas, pahit)",Kalori (100g),Gula(g),Lemak(g),Karbohidrat(g),Serat(g),Protein(g),Sodium(mg),Vitamin C(mg),Vitamin A(IU),Asal
lappet,"Lappet ini diolah dari beras yang disajikan dengan tambahan gula merah dan parutan kelapa di dalam daun pisang berbentuk kerucut. Di wilayah Dairi sendiri, Lappet biasanya menjadi salahsatu menu yang disajikan pada acara-acara hajatan, atau saat acara musyawarah keluarga. ","tepung beras, kelapa parut, gula merah, daun pandan, daun pisang",camilan,"manis, gurih",150,12,4,30,2,2,60,0,50,"Sidikalang, Sumatera Utara"
kue adee meureudu,"Kue tradisional ini dibuat dari singkong yang menghasilkan tekstur yang legit serta gurih saat masuk ke dalam mulut. Sejatinya, makanan khas ini biasa dihidangkan untuk tamu yang sedang berkunjung ke kediaman warga. ","singkong, bawang merah, telur ayam. Gula pasir, santan kental",camilan,"manis, gurih",180,10,7,35,1.5,3,80,0,60,"Meureudu, Aceh"
kelicuk,"Kudapan ini merupakan makanan pembuka sebelum makan berat atau biasa dimakan saat sarapan. Karena itu, kelicuk mudah ditemukan di pasar tradisional ataupun tempat sarapan pagi di Pagar Alam.","pisang, beras ketan putih, kelapa parut, gula merah, daun pandan, daun pisang",camilan,"manis, gurih",120,8,3,22,1,2,50,1,30,"Palembang, Sumatera Selatan"
gonjeng,"Makanan ini bisa ditemui di pasar-pasar yang antara lain ada di kecamatan Muara Pinang, Pendopo, Lintang Kanan dan Tebing Tinggi, Kabupaten Empat Lawang. Gonjeng dibuat menggunakan tepung beras dan kelapa parut sebagai bahan utamanya.","tepung beras, kelapa parut, air kelapa, garam, gula pasir",camilan,"asin, manis, gurih",130,7,4,25,1.2,2.5,70,1,45,"Palembang, Sumatera Selatan"
buah hongas,"Dari namanya seperti buah-buahan, namun sebenarnya Buah Hongas adalah kudapan sejenis gorengan yang cukup legendaris bagi masyarakat di Ogan Komering Ilir. Kudapan ini ini terbuat dari pisang buai atau pisang kepok yang dihaluskan dengan campuran tepung terigu.","pisang buai, tepung terigu, garam, vanili, gula halus, telur",camilan,"asin, manis",110,6,1.5,25,2.5,1,40,3,60,"Palembang, Sumatera Selatan"
kue putu kuning,"Kue putu kuning adalah salah satu kudapan tradisional masyarakat Kuala Jambi, Tanjung Jabung Timur tepatnya, di desa Teluk Mejelis. Awalnya kudapan ini merupakan kudapan bagi kalangan dan keturunan raja Melayu yang bermukim di kawasan hilir Sungai Batanghari.","tepung beras, gula jawa, garam, kunyit, bawang putih, serai, daun pandan, kelapa parut",camilan,"asin, manis, gurih",160,10,5,30,1.8,3,65,0,25,"Jambi, Jambi"
kue mayang papan,"Kue Mayang Papan adalah kudapan yang sering mereka nikmati untuk berbagai acara, baik acara formal ataupun non formal. Selain itu, kudapan ini juga menjadi oleh-oleh favorit para wisatawan yang berkunjung ke Aceh.","tepung beras, kapur sirih, gula pasir, gula palem, daging buah durian",camilan,manis,140,8,4,28,2,2,60,0,40,"Meulaboh, Aceh"
barongko,"Barongko merupakan kudapan khas di Sulawesi Selatan khususnya bagi suku Bugis dan suku Makassar. Barongko artinya singkatan dari Barangku mua udoko (bahasa Bugis), yang artinya barangku sendiri yang kubungkus.","pisang kepok, gula pasir, telur, santan, daun pisang",camilan,"manis, gurih",200,15,7,35,1.5,3.5,90,0,50,"Makassar, Sulawesi Selatan"
gogos,Gogos merupakan sajian makanan berbahan dasar beras ketan yang kemudian dimasak dengan santan. Setelah itu makanan ini dibungkus dengan daun pisang dan dibakar. Gogos biasanya dimasak di atas panggangan pada malam atau subuh sebelum melaksanakan shalat ied.,"ketan putih, santan, garam, daun pisang, ikan cakalang, kemangi, daun salam, daun jeruk",camilan,"asin, gurih",170,12,6,32,1.8,2.8,75,1,55,"Makassar, Sulawesi Selatan"
patlau,"Patlau adalah makanan yang terbuat dari bahan beras ketan dengan proses perebusan yang cukup lama. Uniknya, makanan yang dibungkus dari daun pisang ini memiliki bentuk segitiga panjang. Bentuk patlau tesebut sendiri diperoleh dari hasil cetakan yang terbuat dari bahan kayu.","ketan putih, kelapa parut, garam, air, daun pisang, kacang merah",camilan,"asin, gurih",130,9,3.5,28,2.2,2,60,0,30,"Pontianak, Kalimantan Barat"
cerorot,"Cerocot merupakan salah satu kue tradisional Suku Sasak di Pulau Lombok. Cerorot memiliki bentuk yang unik, seperti mata bor yang dililit oleh daun janur. Selain bentuknya yang unik, cerorot memiliki rasa yang manis.","tepung beras, gula merah, dan santan kelapa",camilan,"manis, gurih",140,10,4,29,1.5,2,65,0,35,"Kupang, Nusa Tenggara Timur"
temet,"Kerupuk Basah adalah kuliner daerah khas Kabupaten Kapuas Hulu, Kalimantan Barat. Dalam bahasa setempat penganan ini disebut Temet. Penganan ini berbahan dasar ikan sungai yang digiling kemudian dicampur tepung tapioka, serta bumbu-bumbu lain seperti bawang putih, merica, penyedap rasa, dan garam. ","tepung sagu, bawang putih, ikan tenggiri, kacang tanah, gula pasir, penyedap rasa",camilan,manis,120,7,3.5,23,2,2,50,1,45,"Pontianak, Kalimantan Barat"
kulfot,Kulfot adalah makanan khas masyarakat Negeri Kian Kecamatan Kiandarat Kabupaten Seram Bagian Timur Maluku yang diabadikan satu tahun sekali tepat di tuju hari setelah Lebaran Idul Fitri biasanya masyarakat menyebutnya Lebaran kedua atau Hari Raya Tujuh.,"ampas sagu, kacang ijo,  intang,  gula pasir, gula merah, santan, kenari, minyak goreng, daun pohon pinang",camilan,"manis, gurih",160,10,5,33,1.8,3,70,0,50,"Ambon, Maluku"
poteng jaje tujak,"Dalam Bahasa Indonesia, poteng jaje tujak berarti tape jajan tumbuk yang jadi makanan khas masyarakat Suku Sasak. Poteng jaje tujak yang disajikan dengan iwel menjadi makanan khas lebaran paling populer di Pulau Lombok, bahkan bisa mengalahkan lontong opor.","beras ketan, ragi tape, daun saga, gula, daun pisang",camilan,manis,180,11,6,34,2,3.2,80,0,60,"Flores, Nusa Tenggara Timur"
kue delapan jam,"Kue 8 jam merupakan olahan kue tradisional dari daerah Palembang, Sumatera Selatan. Umumnya pembuatan kue ini memakan waktu 8 jam dalam proses pengukusannya, setelah di kukus kemudian kue ini di panggang lagi dalam oven sekitar 15 menit supaya kue semakin lembut dan tahan lama.","telur, kental manis, gula pasir, mentega",camilan,manis,190,14,6.5,37,1.5,3,85,0,45,"Palembang, Sumatera Selatan"
kue bangkit,"Kue khas melayu Riau ini terbuat dari campuran tepung kanji, gula, telor dan bahan lainnya yang diramu sedemikian rupa dan dipanggang menggunakan oven sehingga kering. Teksturnya rapuh dengan rasa manis yang khas.","sagu tani, pandan, santan kental, gula, kuning telur, garam",camilan,"asin, manis, gurih",210,15,7,40,1.8,3.5,90,1,50,"Pekanbaru, Riau"
ketupat ketan,"Kuliner khas Minang ini biasa dijadikan kudapan saat lebaran. Ketupat ketan direbus menggunakan santan sehingga memiliki cita rasa yang gurih dan legit. Selain menjadi kudapan, ketupat ketan juga bisa dijadikan menu makanan utama.","ketan, kulit ketupat, santen kental, garam",camilan,asin,220,16,8,45,2,4,95,0,40,"Padang, Sumatera Barat"
lemet singkong," Lemet adalah olahan yang terbuat dari singkong parut yang dicampur dengan gula merah dan dibungkus menggunakan daun pisang. Makanan khas Yogyakarta ini, biasa ditemui saat momen perayaan tertentu, salah satunya saat lebaran. Lemet sendiri memiliki rasa yang legit dan juga manis karena gula merah yang ada di dalamnya.","singkong, kelapa parut, gula pasir, daun pandan, daun pisang",camilan,"manis, gurih",140,10,5,30,2.5,2,70,0,30,"Yogyakarta, Yogyakarta"
kue satu,"Kue Satu ini dibuat dari bahan dasar tepung ketan, kacang hijau dan gula yang kemudian diolah dengan cara yang unik, yaitu saat kue belum memasuki proses pengemasan, maka kue ini wajib untuk dijemur agar kue menjadi kering dan menghindari adanya bintik-bintik hitam.","kacang hijau, gula pasir, vanili, susu bubuk",camilan,manis,180,12,6,35,1.8,3,80,0,35,"Jakarta, DKI Jakarta"
timpahan,"Timphan adalah salah satu kue khas Aceh yang terbuat dari tepung beras, santan kelapa, pisang dan sejumlah bahan lainnya, dibalut dengan pucuk pisang dan dikukus. Timphan hanya didapati di Aceh atau di kalangan orang Aceh di perantauan. ","tepung ketan, santan, pisang raja, daun pisang, telur ayam, nangka masak, tepung terigu, daun pandan, kelapa parut",camilan,gurih,160,11,5,32,2,3,70,0,40,"Meulaboh, Aceh"
godok pisang,Godok pisang merupakan salah satu hidangan tradisional yang populer di Sumatera Barat. Makanan ini terbuat dari pisang matang yang dihaluskan kemudian digoreng. Cita rasanya yang unik menghadirkan perpaduan rasa pisang yang lembut.,"pisang kepok, tepung terigu, gula, garam, minyak goreng",camilan,"asin, manis",120,8,4,25,2,2,50,1,50,"Palembang, Sumatera Selatan"
carang gesing pisang,"Bahan utama adalah buah pisang yang dipotong-potong lalu diberi bumbu santan dan rempah penyedap (seperti daun pandan dan garam). Adonan ini lalu dibungkus daun pisang dan kemudian dikukus. Bentuk bungkusan serupa dengan nagasari, tetapi berbeda isinya.","pisang kepok, gula pasir, garam, agar-agar plain, telur, daun pandan",camilan,"asin, manis",140,9,3,27,2.2,2.5,55,0,45,"Boyolali, Jawa Tengah"
pisang epe,"Epe dalam bahasa lokal Makassar berarti jepit. Ini karena pembuatan pisang epe dijepit atau dipipihkan dengan alat press yang terbuat dari papan kayu. Setelah pisang raja dibakar, kemudian dijepit atau dipenyet.","pisang kepok matang, mentega, kacang tanah, gula merah, garam, daun pandan",camilan,"asin, manis",130,8,3,26,2.5,2.2,60,1,50,"Makassar, Sulawesi Selatan"
kue talam pisang,"Kue basah berbahan dasar tepung beras, santan, dan pisang yang dikukus. Memiliki tekstur lembut dengan rasa manis dari pisang.","Pisang, tepung beras, tepung tapioka, santan, gula, garam.",camilan,"asin, manis, gurih",160,12,5,30,2.3,3,70,0,45,"Pekanbaru, Riau"
nagasari,Kue tradisional berisi pisang yang dibungkus dengan daun pisang dan dikukus.,"Tepung beras, tepung tapioka, santan, gula, pisang.",camilan,"manis, gurih",180,14,6,35,1.8,3.5,80,0,55,"Serang, Banten"
agar hijau kolak pisang,Perpaduan agar-agar hijau dengan kuah kolak berisi pisang.,"Agar-agar hijau, daun pandan, santan, gula merah, pisang.",camilan,"manis, gurih",120,10,4,25,1.5,2.2,60,1,45,"Tapanuli Utara, Sumatera Utara"
lepet jagung manis,"makanan ringan yang dapat dijumpai dimana saja di kawasan Indonesia, berbahan dasar jagung","jagung manis, kelapa parut, tepung beras, gula.",camilan,"manis, gurih",150,10,5,30,1.7,3,65,0,40,"Bima, Nusa Tenggara Barat"
talam jagung degan,"Kue talam jagung merupakan jajanan tradisional yang terbuat dari bahan sederhana, di antaranya, jagung, santan, dan tepung hunkwe","jagung, santan, tepung hunkwe",camilan,gurih,170,12,6,32,1.5,3,75,0,50,"Batu, Jawa Timur"
pakis krispi ,"Desa Wisata Selasari terkenal dengan banyaknya petani pakis nya, dan kebanyakan orang mengolah sayuran pakis dengan di tumis, tapi beda lagi dengan pakis yang satu ini. Masyarakat berinovasi untuk mengolah pakis menjadi cemilanyang nikmat, renyah, bergizi dan pastinya murah meriah yaitu Pakis Crispy","pakis segar, tepung terigu, tepung beras, bawang putih",camilan,asin,250,1,15,20,5,3,400,30,250,Jawa Barat
talam jagung lapis telang,kue lapis berbahan dasar jagung dengan lapisan bewarna biru alami dari bunga telang,"jagung manis, tepung beras, santan, gula, bunga telang",camilan,"manis, gurih",160,10,5,28,2.1,3,70,1,45,"Padangsidimpuan, Sumatera Utara"
puding legung,puding khas pekalongan yang memiliki tekstur kenyal dan rasa manis,"tepung beras, tepung tapioka, gula merah, santan",camilan,"manis, gurih",190,15,8,36,1.8,3.5,85,0,50,"Pekalongan, Jawa Tengah"
klepon,"kue basanh berbentuk bulat seperti bola warna hijau, diisi dengan gula merah cair dan dilapisi kelapa parut","tepung ketan, pasta pandan, gula merah, kelapa parut",camilan,"manis, gurih",220,18,8,40,2.5,4,90,1,60,"Indonesia, -"
kue lumpur,kue lembut dan manis berbahan dasar tepung beras dengan daging buah kelapa didalamnya menambahkan tekstur yang lain,"santan, telur, gula pasir, tepung terigu, tepung beras, daging kelapa",camilan,"manis, gurih",200,16,6,38,2,3.5,80,0,45,"Sidoarjo, Jawa Timur"
kue serabi solo,jajanan tradisional yang memiliki rasa yang gurih santan dengan tekstur lembut,"tepung beras, tepung tapioka, gula pasir, ragi instan, santan kental",camilan,"manis, gurih",210,14,7,40,1.5,3.2,85,0,50,"Solo, Jawa Tengah"
dadar gulung,kue manis berbentuk bulat memanjang dan di dalamnya terdapat parutan kelapa yang dicampur dengan gula jawa cair.,"tepung, santan, pasta pandan, kelapa parut, gula merah",camilan,"manis, gurih",150,10,5,30,2.1,3,70,1,55,"Indonesia, -"
kue lapis medan,"kue yang memiliki tampilan menarik, berlapis warna-warni berbahan dasar tepung beras","tepung beras, santan, gula, pewarna makanan",camilan,"manis, gurih",180,12,6,34,2,3.5,75,0,50,"Medan, Sumatera Utara"
kembang goyang,kue kering berbentuk bunga yang dibuat dengan cetakan khusus memiliki rasa yang manis dan gurih kacang wijen ,"tepung beras, telur, santan, gula wijen",camilan,"manis, gurih",160,10,5,32,1.8,3,70,0,45,"Jakarta, DKI Jakarta"
lupis,"Ada dua bentuk lupis yang umum ditemui, yakni berbentuk segitiga atau bulat memanjang seperti lontong.[1] Lupis terbuat dari beras","beras ketan, kelapa parut, gula merah",camilan,"manis, gurih",190,16,7,36,2,4,80,1,50,"Indonesia, -"
putu bambu,Putu Bambu terbuat dari tepung beras yang dikrawu (diaduk menggunakan tangan) dengan air bersama tetesan pewarna pandan lalu dikukus sebentar untuk menghasilkan tepung bertekstur gumpal kasar. Makanan ini dimasak menggunakan bambu yang sudah dibolongi tengah,"tepung beras, gula jawa, kelapa parut",camilan,"manis, gurih",210,17,8,38,2.5,4,90,0,60,"Jawa, -"
kue dangai,Kue ini biasanya dibuat dari tepung pulut atau tepung ketan yang dicampur dengan gula dan kelapa pilihan. Kue ini benar-benar menunjukan jati diri orang Melayu yang dahulu kala kebanyakan bermukim di tepi pantai dengan komoditas kelapa sebagai tanaman utamany,"kelapa, tepung ketan, gula pasir, garam",camilan,"asin, manis, gurih",220,15,9,40,2,4.5,100,0,55,"Medan, Sumatera Utara"
kue goreng gadong,Makanan khas Sumatera Utara yang satu ini merupakan jajanan khas Batak yang mirip dengan lampet. Terbuat dari campuran tepung beras dan parutan kelapa yang berisi gula aren atau gula merah. Sajian kue goreng gadong ini dimasak dengan cara digoreng sesuai dengan namanya.,"ubi kayu, gula merah, garam",camilan,"asin, manis",200,13,7,37,2,3.5,85,1,50,"Medan, Sumatera Utara"
cimpa,Makanan khas Karo ini terbuat dari beras ketan yang diisi dengan gula dan parutan kelapa. Cimpa biasanya dibungkus dengan daun pisang atau daun singkut. ,"tepung ketan, tepung beras, gula merah, kelapa parut, daun singkut",camilan,"manis, gurih",170,12,6,32,2,3,80,0,45,"Medan, Sumatera Utara"
hihindat ni andalu,"Hihindat Ni Andalu terbuat dari bahan dasar tepung beras dicampur dengan buah pisang dan diberikan sedikit gula, keunikan dari kuliner ini adalah dari proses pembuatannya yang sedikit gampang dan sulit, seperti dengan namanya Hihindat Ni Andalu yang berarti di angkat oleh Kayu Penumbuk Lesung","tepung beras, buah pisang, gula",camilan,manis,160,11,5,30,2.5,3,70,0,40,"Medan, Sumatera Utara"
kue ombus-ombus,Kue ombus-ombus terbuat dari tepung beras yang diberi gula di tengahnya dan dibungkus dengan daun pisang. Nama Ombus-ombus itu konon dibuat harus memberi tiupan (menghembuskan nafas) ketika memakannya dan kue ini enak dimakan di saat masih hangat.,"tepung beras, tepung ketan, gula pasir, kelapa parut, garam, gula merah, daun pisang",camilan,"asin, manis, gurih",180,14,6,34,2.2,3.5,75,0,50,"Tarutung, Sumatera Utara"
alame,Alame juga sering disebut Dodol Mandailing. Tradisi memasak Alame biasanya ramai saat bulan puasa sebagai penganan untuk merayakan hari raya Idul fitri. Pengrajin Alame di Panyabungan menjadikan Alame sebagai mata pencaharian yang pemasarannya tembus hingga Malaysia.,"beras pulut, tepung terigu, gula aren, santan kelapa, vanili",camilan,"manis, gurih",150,10,4,28,2.5,2.8,60,0,45,"Medan, Sumatera Utara"
lopek maga,"Lopek Maga atau Lepat Maga adalah kue basah yang terbuat dari tepung ketan yang berisi kelapa parut yang dicampur gula merah. Lopek ini dinamai Lopek Maga karena berasal dari Desa Maga Lombang, Kec. Lembah Sorik Marapi. ","tepung ketan, kelapa parut, gula merah, daun pandan",camilan,"manis, gurih",140,8,3.5,26,2,2,55,1,40,"Medan, Sumatera Utara"
bika bakar mandailing,Kabupaten Mandailing Natal memiliki makanan enak yang bentuknya mirip seperti serabi. Makanan enak ini bernama Bika Bakar. Pembuatannya juga cukup unik karena menggunakan sabut kelapa.,"tepung singkong, tepung beras, gula pasir, santan, kelapa parut, baking powder",camilan,"manis, gurih",200,16,8,38,2,4.5,90,0,50,"Mandailing Natal, Sumatera Utara"
dolung-dolung,"Dolung-dolung adalah makanan sejenis kue lepat berbentuk bulat ini berasal dari Parapat, kota yang terletak di tepi Danau Toba. Jajanan tradisional ini terbuat dari tepung beras dengan isi gula aren campur kelapa parut dan dibungkus menggunakan daun bambu.","tepung ketan, kelapa parut, garam, gula merah",camilan,"asin, manis, gurih",180,13,5,33,2.1,3.2,75,1,45,"Danau Toba, Sumatera Utara"
kue karud,"Jaje Karud adalah kue tradisional Bali. Jajanan tradisonal khas Bali biasa disebut dengan ""Jaje Bali"". Jaje jika diterjemahkan ke bahasa Indonesia, berarti ""jajanan"". Karud terbuat dari campuran tepung beras, air, gula, dan beberapa bahan tambahan serta daun pandan/daun suji sebagai bahan pewarna hijau alami. ","tepung beras, gula merah, kelapa, daun suji, kapur sirih, pelepah pisang",camilan,"manis, gurih",170,12,4,30,2.5,3,70,0,40,"Denpasar, Bali"
rujak kuah pindang,"Bumbunya yang khas dan aneka buah di dalamnya membuat makanan ini digandrungi oleh penikmatnya. Sesuai dengan namanya, rujak kuah pindang menggunakan bumbu yang berasal dari kaldu ikan pindang. Bagi yang tidak pandai mengolahnya, rujak tersebut akan terasa amis.","ikan pindang, garam, daun salam, serai, terasi udang, gula pasir, cabai, petis, mangga, jambu, mentimun, bengkoang, kedondongm belimbing",camilan,"asin, manis, pedas",140,8,3.5,25,3,2,60,2,50,"Denpasar, Bali"
laklak,"Laklak biasanya disajikan sebagai sarapan pagi. Laklak banyak ditemukan di pasar tradisional pada pagi hari. Selain itu, Laklak juga dibuat secara khusus sebagai hidangan pesta dan upacara adat","santan, tepung terigu, air, kelapa parut, daun suji, baking powder, garam, gula merah, gula pasir, daun pandan",camilan,"asin, manis, gurih",190,14,7,34,2,3.5,80,0,55,"Denpasar, Bali"
jaje bendu,"Kue jaje bendu biasa digunakan untuk upacara perkawinan. Kue jenis ini sudah tersebar di seluruh Bali, dibuat selain digunakan untuk keperluan upacara keagamaan (sebagai sajian) juga dibuat untuk dijual. Kue ini tidak tahan lama, paling lama tahan selama satu hari.","tepung ketan, air, garam, kelapa parut, gula merah, garam, daun pandan",camilan,"asin, manis, gurih",150,10,4,28,2,2.5,60,1,45,"Denpasar, Bali"
celimbungan,"Roti goreng isi kelapa dan gula merah, khas Palembang.","Tepung, kelapa, gula merah",camilan,"manis, gurih",160,11,5,30,2.2,3,70,0,50,"Palembang, Sumatera Selatan"
roti jala,Roti berbentuk jala yang disajikan dengan kari.,"Tepung, kari",camilan,"manis, gurih, asin",210,15,8,39,1.5,4,90,0,60,"Tanjungpinang, Kepulauan Riau"
rusip,"Ikan yang diasinkan dan dicampur dengan bumbu pedas, sering dimakan dengan nasi.","Ikan, bumbu pedas",camilan,pedas,180,12,5,33,2,3.2,80,0,55,"Pangkal Pinang, Bangka Belitung"
pantiaw,"Kue kering berbentuk tipis, terbuat dari tepung dan kelapa.","Tepung, kelapa",camilan,gurih,220,18,9,40,2,4.5,100,0,60,"Pangkal Pinang, Bangka Belitung"
kue bay tat,Kue manis berbahan dasar kelapa parut dan tepung ketan.,"Kelapa, tepung ketan",camilan,gurih,180,12,6,32,2,3,75,0,45,"Bengkulu, Bengkulu"
kue lepek binti,Kue tradisional dari tepung ketan yang dibungkus daun pisang.,"Tepung ketan, daun pisang",camilan,manis,150,9,4,28,2,2.8,60,1,50,"Bengkulu, Bengkulu"
kue padamaran,Kue tradisional yang terbuat dari tepung ketan dan gula merah.,"Tepung ketan, gula merah",camilan,manis,170,11,5,30,2.3,3.5,70,0,45,"Jambi, Jambi"
kentan bintul,Kentang yang digoreng dengan bumbu pedas dan manis.,"Kentang, rempah, gula",camilan,manis,160,10,4,28,2,2.5,65,1,40,"Pandeglang, Banten"
peuyeum,Tape singkong yang difermentasi dengan rasa manis dan sedikit asam.,"Singkong, ragi",camilan,manis,140,9,3,26,2.5,2,55,0,30,"Bandung, Jawa Barat"
coleknak,Camilan berupa tahu atau tempe yang dibalut oncom dan bumbu.,"Tahu/tempe, oncom, bumbu",camilan,"gurih, asin",180,12,6,35,2,3,75,0,50,"Bandung, Jawa Barat"
bakpia,"Kue kering dengan isian kacang hijau manis, khas Yogyakarta.","Kacang hijau, tepung",camilan,"manis, asin",220,18,9,40,2.5,4,100,1,60,"Yogyakarta, Yogyakarta"
kerak telor,Makanan khas Betawi berupa nasi ketan yang dibakar dan disajikan dengan telur serta bumbu.,"Nasi ketan, telur",camilan,"gurih, asin",250,20,12,30,1.5,6,80,0,70,"Jakarta, DKI Jakarta"
kue jawada,Kue tradisional NTT yang terbuat dari ketan hitam dan gula merah.,"Ketan hitam, gula merah",camilan,manis,210,15,7,38,2,3.5,85,0,55,"Kupang, Nusa Tenggara Timur"
pengkang,Makanan khas Pontianak yang terbuat dari ketan yang dibungkus daun pisang.,"Ketan, daun pisang",camilan,"gurih, manis",180,12,6,34,2,3,70,1,45,"Pontianak, Kalimantan Barat"
pisang goreng pontianak,"Pisang goreng dengan taburan gula pasir, camilan manis khas Kalimantan Barat.","Pisang, gula",camilan,manis,250,15,13,35,2.3,3.2,90,0,60,"Pontianak, Kalimantan Barat"
roti srikaya,Roti yang terbuat dari bahan tepung dan kelapa dengan isi srikaya manis.,"Tepung, kelapa, srikaya",camilan,gurih,200,16,8,40,1.8,3.5,80,1,55,"Pontianak, Kalimantan Barat"
bangamat,Makanan yang terbuat dari beras ketan dengan kelapa parut.,"Beras ketan, kelapa",camilan,gurih,180,14,7,32,2.2,3.2,70,0,50,"Palangkaraya, Kalimantan Tengah"
cacapan asam,Sambal khas Kalimantan Selatan yang dibuat dari cabai dan bahan asam.,"Cabai, asam",camilan,pedas,150,6,5,20,2,4,250,10,150,"Banjarmasin, Kalimantan Selatan"
sambal raja,"Sambal pedas khas Kalimantan Timur yang terbuat dari cabai, tomat, dan rempah.","Cabai, tomat, rempah",camilan,pedas,120,2,8,10,1,2,300,10,120,"Samarinda, Kalimantan Timur"
